GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
25500105,1610612755,Nationals,SYR,Syracuse,0,41,,,,,,19,29.0,0.655,,,,,,,,28.0,101,
25500105,1610612752,Knicks,NYK,New York,0,30,,,,,,32,41.0,0.78,,,,15.0,,,,22.0,92,
25500107,1610612752,Knicks,NYK,New York,0,30,,,,,,32,45.0,0.71,,,,,,,,27.0,92,
25500107,1610612758,Royals,ROC,Rochester,0,38,,,,,,25,37.0,0.676,,,,,,,,30.0,101,
25500108,1610612747,Lakers,MNL,Minneapolis,240,27,98.0,0.276,,,,26,31.0,0.838,,,,18.0,,,,21.0,80,
25500108,1610612755,Nationals,SYR,Syracuse,240,30,75.0,0.4,,,,25,33.0,0.758,,,,22.0,,,,22.0,85,
25500106,1610612738,Celtics,BOS,Boston,240,44,93.0,0.472,,,,33,44.0,0.75,,,,35.0,,,,25.0,121,
25500106,1610612744,Warriors,PHW,Philadelphia,240,42,89.0,0.471,,,,29,34.0,0.852,,,,33.0,,,,25.0,113,
25500109,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,30,,,,,,25,34.0,0.734,,,,,,,,18.0,85,
25500109,1610612737,Hawks,STL,St. Louis,0,26,,,,,,16,23.0,0.695,,,,,,,,24.0,68,
25500112,1610612737,Hawks,STL,St. Louis,240,34,84.0,0.405,,,,14,24.0,0.582,,,,22.0,,,,25.0,82,
25500112,1610612755,Nationals,SYR,Syracuse,240,30,78.0,0.385,,,,24,33.0,0.726,,,,19.0,,,,18.0,84,
25500111,1610612747,Lakers,MNL,Minneapolis,0,28,83.0,0.337,,,,39,42.0,0.929,,,,,,,,26.0,95,
25500111,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,31,84.0,0.368,,,,27,37.0,0.729,,,,,,,,27.0,89,
25500110,1610612744,Warriors,PHW,Philadelphia,0,54,,,,,,47,63.0,0.745,,,,,,,,30.0,155,
25500110,1610612758,Royals,ROC,Rochester,0,35,,,,,,30,45.0,0.667,,,,,,,,35.0,100,
25500114,1610612744,Warriors,PHW,Philadelphia,0,39,93.0,0.418,,,,24,35.0,0.686,,,,33.0,,,,19.0,102,
25500114,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,34,95.0,0.357,,,,14,23.0,0.608,,,,20.0,,,,24.0,82,
25500113,1610612752,Knicks,NYK,New York,240,38,88.0,0.431,,,,31,40.0,0.775,,,,25.0,,,,25.0,107,
25500113,1610612738,Celtics,BOS,Boston,240,36,99.0,0.363,,,,25,36.0,0.693,,,,27.0,,,,26.0,97,
25500117,1610612752,Knicks,NYK,New York,0,40,,,,,,23,32.0,0.718,,,,11.0,,,,27.0,103,
25500117,1610612738,Celtics,BOS,Boston,0,31,,,,,,24,39.0,0.614,,,,,,,,27.0,86,
25500115,1610612755,Nationals,SYR,Syracuse,240,28,78.0,0.358,,,,31,41.0,0.756,,,,19.0,,,,25.0,87,
25500115,1610612744,Warriors,PHW,Philadelphia,240,31,78.0,0.397,,,,26,38.0,0.684,,,,23.0,,,,24.0,88,
25500116,1610612758,Royals,ROC,Rochester,0,25,,,,,,36,46.0,0.783,,,,,,,,19.0,86,
25500116,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,33,,,,,,22,26.0,0.845,,,,,,,,31.0,88,
25500118,1610612747,Lakers,MNL,Minneapolis,0,36,,,,,,22,30.0,0.732,,,,,,,,24.0,94,
25500118,1610612737,Hawks,STL,St. Louis,0,27,,,,,,22,30.0,0.732,,,,,,,,23.0,76,
25500119,1610612752,Knicks,NYK,New York,0,32,,,,,,23,30.0,0.767,,,,,,,,18.0,87,
25500119,1610612738,Celtics,BOS,Boston,0,35,,,,,,22,27.0,0.814,,,,,,,,22.0,92,
25500120,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,31,84.0,0.368,,,,30,43.0,0.697,,,,16.0,,,,29.0,92,
25500120,1610612744,Warriors,PHW,Philadelphia,0,24,68.0,0.352,,,,33,45.0,0.732,,,,14.0,,,,26.0,81,
25500121,1610612744,Warriors,PHW,Philadelphia,0,36,84.0,0.428,,,,32,44.0,0.726,,,,26.0,,,,28.0,104,
25500121,1610612752,Knicks,NYK,New York,0,33,95.0,0.346,,,,31,45.0,0.688,,,,22.0,,,,31.0,97,
25500122,1610612755,Nationals,SYR,Syracuse,265,37,102.0,0.362,,,,25,31.0,0.806,,,,16.0,,,,26.0,99,
25500122,1610612738,Celtics,BOS,Boston,265,41,99.0,0.413,,,,23,33.0,0.696,,,,20.0,,,,24.0,105,
25500123,1610612758,Royals,ROC,Rochester,0,38,,,,,,27,40.0,0.675,,,,,,,,23.0,103,
25500123,1610612747,Lakers,MNL,Minneapolis,0,39,21.0,1.856,,,,20,30.0,0.667,,,,,,,,26.0,98,
25500124,1610612737,Hawks,STL,St. Louis,0,39,,,,,,19,30.0,0.633,,,,,,,,25.0,97,
25500124,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,39,,,,,,30,45.0,0.667,,,,,,,,23.0,108,
25500125,1610612738,Celtics,BOS,Boston,236,36,96.0,0.375,,,,37,43.0,0.859,,,,27.0,,,,27.0,109,
25500125,1610612758,Royals,ROC,Rochester,240,43,111.0,0.387,,,,25,32.0,0.781,,,,36.0,,,,28.0,111,
25500127,1610612747,Lakers,MNL,Minneapolis,250,38,88.0,0.431,,,,23,28.0,0.82,,,,25.0,,,,22.0,99,
25500127,1610612755,Nationals,SYR,Syracuse,240,36,83.0,0.433,,,,19,29.0,0.655,,,,21.0,,,,21.0,91,
25500126,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,32,,,,,,27,38.0,0.71,,,,,,,,30.0,91,
25500126,1610612737,Hawks,STL,St. Louis,0,28,,,,,,40,49.0,0.815,,,,,,,,28.0,96,
25500128,1610612752,Knicks,NYK,New York,0,31,88.0,0.351,,,,21,28.0,0.75,,,,25.0,,,,19.0,83,
25500128,1610612744,Warriors,PHW,Philadelphia,0,37,84.0,0.44,,,,21,28.0,0.75,,,,27.0,,,,19.0,95,
25500130,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,40,,,,,,25,33.0,0.758,,,,,,,,21.0,105,
25500130,1610612738,Celtics,BOS,Boston,0,33,22.0,1.5,,,,23,31.0,0.741,,,,,,,,26.0,89,
25500131,1610612747,Lakers,MNL,Minneapolis,240,34,77.0,0.442,,,,22,26.0,0.845,,,,29.0,,,,24.0,90,
25500131,1610612755,Nationals,SYR,Syracuse,240,26,84.0,0.309,,,,27,35.0,0.771,,,,24.0,,,,21.0,79,
25500129,1610612744,Warriors,PHW,Philadelphia,0,40,93.0,0.429,,,,29,36.0,0.806,,,,33.0,,,,29.0,109,
25500129,1610612737,Hawks,STL,St. Louis,0,37,96.0,0.385,,,,33,43.0,0.767,,,,23.0,,,,24.0,107,
25500133,1610612758,Royals,ROC,Rochester,66,35,74.0,0.472,,,,24,29.0,0.827,,,,19.0,,,,34.0,94,
25500133,1610612744,Warriors,PHW,Philadelphia,43,31,84.0,0.368,,,,52,59.0,0.881,,,,17.0,,,,25.0,114,
25500132,1610612747,Lakers,MNL,Minneapolis,0,44,,,,,,26,35.0,0.742,,,,,,,,33.0,114,
25500132,1610612738,Celtics,BOS,Boston,0,35,,,,,,40,48.0,0.832,,,,,,,,26.0,110,
25500135,1610612755,Nationals,SYR,Syracuse,240,30,75.0,0.4,,,,33,43.0,0.767,,,,23.0,,,,29.0,93,
25500135,1610612737,Hawks,STL,St. Louis,240,27,83.0,0.325,,,,24,39.0,0.614,,,,17.0,,,,29.0,78,
25500134,1610612744,Warriors,PHW,Philadelphia,0,51,94.0,0.543,,,,21,29.0,0.723,,,,35.0,,,,22.0,123,
25500134,1610612758,Royals,ROC,Rochester,0,36,97.0,0.37,,,,22,32.0,0.687,,,,26.0,,,,22.0,94,
25500137,1610612758,Royals,ROC,Rochester,0,38,,,,,,22,27.0,0.814,,,,,,,,15.0,98,
25500137,1610612737,Hawks,STL,St. Louis,0,35,,,,,,20,26.0,0.769,,,,,,,,18.0,90,
25500136,1610612738,Celtics,BOS,Boston,240,43,97.0,0.443,,,,33,46.0,0.716,,,,34.0,,,,29.0,119,
25500136,1610612755,Nationals,SYR,Syracuse,230,35,94.0,0.371,,,,34,43.0,0.791,,,,24.0,,,,28.0,104,
25500138,1610612744,Warriors,PHW,Philadelphia,0,32,93.0,0.343,,,,39,57.0,0.684,,,,26.0,,,,32.0,103,
25500138,1610612738,Celtics,BOS,Boston,0,32,86.0,0.371,,,,40,53.0,0.755,,,,24.0,,,,35.0,104,
25500141,1610612758,Royals,ROC,Rochester,240,42,87.0,0.482,,,,18,30.0,0.599,,,,26.0,,,,30.0,102,
25500141,1610612755,Nationals,SYR,Syracuse,240,29,80.0,0.362,,,,35,46.0,0.761,,,,16.0,,,,23.0,93,
25500139,1610612752,Knicks,NYK,New York,0,33,,,,,,35,46.0,0.761,,,,,,,,25.0,101,
25500139,1610612737,Hawks,STL,St. Louis,0,39,,,,,,26,33.0,0.788,,,,,,,,33.0,104,
